smooth/rough,disorganized/organized,chromaticity,dull/shiny,darkness/lightness,Image,fine/coarse grain,red/green
3.5,7.15,1.8,2.45,5.4,M_Gneiss_01.jpg,4.05,6.53
4.9,6.7,3.6,3.8,5.75,M_Gneiss_02.jpg,5.3,4.91
4.55,6.45,2.5,2.85,5.85,M_Gneiss_03.jpg,4.5,4.3
4.3,6.4,3.6,2.9,5.1,M_Gneiss_04.jpg,5.2,3.23
4.8,6.5,2.7,2.9,6.1,M_Gneiss_05.jpg,5.0,6.88
3.85,8.1,1.4,2.35,6.25,M_Gneiss_06.jpg,4.55,4.19
4.0,7.5,2.2,2.9,4.95,M_Gneiss_07.jpg,4.0,6.49
4.45,7.15,1.3,4.0,5.5,M_Gneiss_08.jpg,5.15,6.42
4.15,8.05,1.1,2.25,5.35,M_Gneiss_09.jpg,4.9,5.47
5.15,6.65,3.9,3.0,5.35,M_Gneiss_10.jpg,5.45,3.49
4.65,7.65,1.7,3.3,5.3,M_Gneiss_11.jpg,4.85,5.19
4.3,5.2,1.4,3.0,4.0,M_Gneiss_12.jpg,5.25,5.09
3.85,5.1,0.4,2.95,1.85,M_Hornfels_01.jpg,3.0,5.12
3.75,5.75,1.6,2.4,5.25,M_Hornfels_02.jpg,2.8,5.72
3.75,5.5,1.0,3.4,2.8,M_Hornfels_03.jpg,2.6,4.98
4.75,5.1,2.1,2.05,3.8,M_Hornfels_04.jpg,3.45,5.16
3.45,5.45,0.5,3.15,2.0,M_Hornfels_05.jpg,2.15,5.07
4.05,5.2,3.9,2.3,2.95,M_Hornfels_06.jpg,2.8,2.74
5.05,5.4,1.3,4.35,1.65,M_Hornfels_07.jpg,3.05,6.63
5.5,4.55,1.1,3.85,3.65,M_Hornfels_08.jpg,3.85,5.07
5.4,4.3,2.0,2.65,4.25,M_Hornfels_09.jpg,4.85,5.0
4.25,4.7,1.1,2.05,4.4,M_Hornfels_10.jpg,3.85,5.28
4.6,4.75,1.3,2.1,3.4,M_Hornfels_11.jpg,3.9,5.14
3.3,5.15,1.4,3.35,3.6,M_Hornfels_12.jpg,2.6,5.02
7.1,3.3,1.2,3.65,7.6,M_Marble_01.jpg,6.2,6.51
4.25,5.9,0.2,5.25,8.9,M_Marble_02.jpg,2.55,4.95
3.7,6.0,0.4,4.15,8.95,M_Marble_03.jpg,2.7,5.09
4.2,5.45,0.7,5.45,8.65,M_Marble_04.jpg,3.2,4.79
3.9,4.7,1.1,5.35,8.2,M_Marble_05.jpg,3.15,3.91
4.75,4.95,1.3,4.85,8.25,M_Marble_06.jpg,3.45,5.33
4.35,6.95,0.8,3.25,6.3,M_Marble_07.jpg,4.95,5.09
5.55,4.9,5.1,5.7,6.5,M_Marble_08.jpg,4.6,2.09
5.8,4.8,0.2,6.3,8.3,M_Marble_09.jpg,5.2,5.12
5.7,5.3,3.9,6.2,7.75,M_Marble_10.jpg,4.5,3.0
5.25,3.95,3.8,4.85,7.2,M_Marble_11.jpg,5.5,3.07
4.25,6.95,0.4,5.15,6.65,M_Marble_12.jpg,4.65,5.14
4.65,5.55,0.8,2.7,6.25,M_Migmatite_01.jpg,5.05,5.58
4.8,4.2,1.0,2.4,4.35,M_Migmatite_02.jpg,4.6,5.28
3.7,8.05,1.7,2.55,5.85,M_Migmatite_03.jpg,4.25,5.7
3.2,5.95,1.3,3.2,5.45,M_Migmatite_04.jpg,3.6,5.21
4.05,4.75,1.4,2.15,5.3,M_Migmatite_05.jpg,4.3,5.28
4.85,5.05,1.1,3.95,5.55,M_Migmatite_06.jpg,5.05,5.14
4.55,6.35,1.8,3.15,4.6,M_Migmatite_07.jpg,5.2,5.67
4.85,6.2,2.0,3.4,4.55,M_Migmatite_08.jpg,5.1,6.84
5.85,3.8,2.3,3.05,5.05,M_Migmatite_09.jpg,5.85,6.23
4.6,5.15,1.5,2.2,4.4,M_Migmatite_10.jpg,5.35,5.09
4.85,5.05,0.8,3.0,3.25,M_Migmatite_11.jpg,4.35,5.0
4.6,7.1,1.2,2.45,4.5,M_Migmatite_12.jpg,4.35,4.91
5.45,4.25,1.0,4.95,4.5,M_Phyllite_01.jpg,5.5,5.35
4.0,5.65,1.4,2.35,5.0,M_Phyllite_02.jpg,3.55,4.33
4.4,5.2,2.7,5.25,5.8,M_Phyllite_03.jpg,3.3,5.86
3.9,4.9,2.7,5.7,4.5,M_Phyllite_04.jpg,3.85,6.67
3.25,7.1,1.9,3.75,5.95,M_Phyllite_05.jpg,2.9,5.79
3.6,6.2,1.8,6.1,5.1,M_Phyllite_06.jpg,3.35,6.12
3.8,5.9,2.5,2.65,4.25,M_Phyllite_07.jpg,3.4,7.19
2.85,6.2,1.7,6.55,2.9,M_Phyllite_08.jpg,2.9,6.77
3.95,5.35,2.3,5.0,5.65,M_Phyllite_09.jpg,3.45,7.93
3.7,5.35,1.5,2.4,4.55,M_Phyllite_10.jpg,3.4,5.33
6.15,4.85,1.8,3.9,4.75,M_Phyllite_11.jpg,5.25,4.91
4.75,5.4,1.7,6.4,6.45,M_Phyllite_12.jpg,3.75,5.51
3.9,5.35,1.2,2.85,6.05,M_Quartzite_01.jpg,4.35,5.02
3.1,7.55,2.5,2.5,5.4,M_Quartzite_02.jpg,3.2,3.77
5.15,5.45,3.3,2.85,5.55,M_Quartzite_03.jpg,5.1,8.49
4.95,4.6,1.4,3.7,6.45,M_Quartzite_04.jpg,4.85,5.91
3.8,5.7,1.0,4.3,7.55,M_Quartzite_05.jpg,4.05,5.09
4.7,5.9,2.9,4.35,6.4,M_Quartzite_06.jpg,4.75,3.74
2.9,6.05,2.4,3.45,6.15,M_Quartzite_07.jpg,2.6,6.07
4.35,5.75,1.4,3.45,7.15,M_Quartzite_08.jpg,4.2,5.23
4.05,4.65,1.0,4.4,7.05,M_Quartzite_09.jpg,5.05,4.95
5.8,3.9,3.9,4.75,6.4,M_Quartzite_10.jpg,5.1,2.91
3.9,5.9,5.5,2.15,5.65,M_Quartzite_11.jpg,4.4,1.58
3.9,6.05,3.7,1.95,6.5,M_Quartzite_12.jpg,3.45,4.0
5.1,4.7,1.6,2.95,5.8,M_Schist_01.jpg,4.2,4.81
6.8,3.7,0.9,5.35,6.55,M_Schist_02.jpg,5.65,5.53
6.55,3.8,2.7,4.55,3.15,M_Schist_03.jpg,5.5,6.77
5.55,3.9,4.1,4.85,4.55,M_Schist_04.jpg,5.55,3.58
5.1,4.74,1.3,6.8,3.9,M_Schist_05.jpg,3.95,5.63
6.4,3.95,1.6,5.95,4.55,M_Schist_06.jpg,6.2,4.21
6.3,3.7,3.3,5.0,4.15,M_Schist_07.jpg,6.1,7.65
5.45,3.5,1.0,4.4,5.95,M_Schist_08.jpg,5.25,5.12
6.15,4.7,0.6,3.05,3.2,M_Schist_09.jpg,5.6,5.72
5.65,4.6,1.3,4.35,4.8,M_Schist_10.jpg,5.3,5.86
5.8,4.1,2.4,4.15,4.55,M_Schist_11.jpg,5.45,5.26
5.9,3.3,2.3,4.2,4.1,M_Schist_12.jpg,6.35,4.77
4.25,6.15,3.4,2.45,4.9,M_Slate_01.jpg,3.75,8.49
2.6,5.95,0.8,6.05,6.65,M_Slate_02.jpg,1.7,5.05
3.7,5.2,0.7,2.4,5.0,M_Slate_03.jpg,3.1,5.53
3.6,5.6,0.4,2.15,4.5,M_Slate_04.jpg,2.75,5.4
3.7,6.2,5.7,2.9,5.1,M_Slate_05.jpg,2.8,1.16
4.05,5.45,1.2,2.25,3.25,M_Slate_06.jpg,2.7,4.81
3.2,5.6,4.6,2.35,4.4,M_Slate_07.jpg,2.6,6.63
2.5,6.0,5.0,1.95,3.45,M_Slate_08.jpg,2.1,2.63
4.2,4.7,1.7,2.9,5.1,M_Slate_09.jpg,3.2,5.0
4.1,5.8,0.5,2.95,5.1,M_Slate_10.jpg,3.05,5.12
2.9,5.4,1.6,3.55,6.75,M_Slate_11.jpg,2.9,5.98
2.7,6.05,0.9,1.65,4.55,M_Slate_12.jpg,2.45,4.63
5.8,4.4,1.0,6.3,2.15,S_Bituminous Coal_01.jpg,4.25,5.07
3.25,4.9,0.2,8.65,1.35,S_Bituminous Coal_02.jpg,2.1,5.07
