dull/shiny,disorganized/organized,fine/coarse grain,Image,red/green,smooth/rough,chromaticity,darkness/lightness
2.7,5.55,5.05,M_Migmatite_01.jpg,5.58,4.65,0.8,6.25
2.4,4.2,4.6,M_Migmatite_02.jpg,5.28,4.8,1.0,4.35
2.55,8.05,4.25,M_Migmatite_03.jpg,5.7,3.7,1.7,5.85
3.2,5.95,3.6,M_Migmatite_04.jpg,5.21,3.2,1.3,5.45
2.15,4.75,4.3,M_Migmatite_05.jpg,5.28,4.05,1.4,5.3
3.95,5.05,5.05,M_Migmatite_06.jpg,5.14,4.85,1.1,5.55
3.15,6.35,5.2,M_Migmatite_07.jpg,5.67,4.55,1.8,4.6
3.4,6.2,5.1,M_Migmatite_08.jpg,6.84,4.85,2.0,4.55
3.05,3.8,5.85,M_Migmatite_09.jpg,6.23,5.85,2.3,5.05
2.2,5.15,5.35,M_Migmatite_10.jpg,5.09,4.6,1.5,4.4
3.0,5.05,4.35,M_Migmatite_11.jpg,5.0,4.85,0.8,3.25
2.45,7.1,4.35,M_Migmatite_12.jpg,4.91,4.6,1.2,4.5
4.95,4.25,5.5,M_Phyllite_01.jpg,5.35,5.45,1.0,4.5
2.35,5.65,3.55,M_Phyllite_02.jpg,4.33,4.0,1.4,5.0
5.25,5.2,3.3,M_Phyllite_03.jpg,5.86,4.4,2.7,5.8
5.7,4.9,3.85,M_Phyllite_04.jpg,6.67,3.9,2.7,4.5
3.75,7.1,2.9,M_Phyllite_05.jpg,5.79,3.25,1.9,5.95
6.1,6.2,3.35,M_Phyllite_06.jpg,6.12,3.6,1.8,5.1
2.65,5.9,3.4,M_Phyllite_07.jpg,7.19,3.8,2.5,4.25
6.55,6.2,2.9,M_Phyllite_08.jpg,6.77,2.85,1.7,2.9
5.0,5.35,3.45,M_Phyllite_09.jpg,7.93,3.95,2.3,5.65
2.4,5.35,3.4,M_Phyllite_10.jpg,5.33,3.7,1.5,4.55
