fine/coarse grain,smooth/rough,darkness/lightness,dull/shiny,chromaticity,red/green,disorganized/organized,Image
2.55,4.15,2.6,6.2,1.5,4.51,4.7,S_Bituminous Coal_06.jpg
3.55,4.6,1.65,4.1,1.3,5.44,5.15,S_Bituminous Coal_07.jpg
2.8,4.65,1.4,5.7,0.3,5.02,4.7,S_Bituminous Coal_08.jpg
1.05,1.15,1.1,7.75,0.2,5.0,5.9,S_Bituminous Coal_09.jpg
2.2,4.6,1.1,6.8,0.3,4.93,4.7,S_Bituminous Coal_10.jpg
1.9,2.65,1.3,7.4,0.6,4.91,5.0,S_Bituminous Coal_11.jpg
4.55,5.8,3.05,4.8,1.1,5.47,3.75,S_Bituminous Coal_12.jpg
8.75,8.7,5.0,2.2,3.5,6.63,1.0,S_Breccia_01.jpg
8.55,8.25,5.55,3.6,3.1,4.4,1.85,S_Breccia_02.jpg
8.05,8.0,6.2,2.4,1.7,6.7,2.45,S_Breccia_03.jpg
6.5,6.0,5.25,3.65,2.4,3.35,3.2,S_Breccia_04.jpg
8.0,7.9,5.5,4.95,2.3,4.37,1.85,S_Breccia_05.jpg
7.8,7.3,5.7,4.2,4.4,2.4,3.55,S_Breccia_06.jpg
8.6,5.4,5.7,3.85,5.5,1.51,3.3,S_Breccia_07.jpg
8.45,6.25,5.35,3.8,5.4,2.7,2.15,S_Breccia_08.jpg
3.65,2.75,2.0,5.45,0.4,4.95,3.0,S_Breccia_09.jpg
7.65,4.7,4.0,3.15,2.8,3.53,3.4,S_Breccia_10.jpg
8.85,5.15,5.75,3.95,5.7,1.23,3.15,S_Breccia_11.jpg
8.1,8.05,4.9,2.65,5.1,3.6,2.25,S_Breccia_12.jpg
2.05,2.15,5.8,4.85,3.2,3.91,4.55,S_Chert_01.jpg
1.9,2.4,8.25,4.25,3.0,4.23,5.15,S_Chert_02.jpg
1.85,2.5,7.55,4.2,4.6,4.7,4.55,S_Chert_03.jpg
2.65,2.9,6.2,2.55,1.6,5.05,5.2,S_Chert_04.jpg
