porphyritic texture,pegmatitic structure,conchoidal fracture,Image
4.71,2.35,1.67,S_Dolomite_11.jpg
1.33,1.25,2.4,S_Dolomite_12.jpg
2.57,1.95,2.67,S_Micrite_01.jpg
1.81,1.3,2.0,S_Micrite_02.jpg
2.19,1.8,3.13,S_Micrite_03.jpg
1.48,2.0,5.93,S_Micrite_04.jpg
2.48,2.15,5.13,S_Micrite_05.jpg
3.29,1.35,2.67,S_Micrite_06.jpg
4.38,1.35,1.6,S_Micrite_07.jpg
2.0,2.15,4.33,S_Micrite_08.jpg
2.24,1.75,4.33,S_Micrite_09.jpg
1.19,1.0,3.0,S_Micrite_10.jpg
2.52,1.3,2.4,S_Micrite_11.jpg
2.81,2.1,3.07,S_Micrite_12.jpg
2.57,2.9,3.07,S_Rock Gypsum_01.jpg
2.86,3.1,4.47,S_Rock Gypsum_02.jpg
2.19,2.95,2.73,S_Rock Gypsum_03.jpg
3.14,4.25,3.33,S_Rock Gypsum_04.jpg
2.24,3.5,2.27,S_Rock Gypsum_05.jpg
2.0,2.05,4.07,S_Rock Gypsum_06.jpg
2.19,2.2,3.07,S_Rock Gypsum_07.jpg
1.95,4.0,5.87,S_Rock Gypsum_08.jpg
1.81,5.0,5.0,S_Rock Gypsum_09.jpg
2.14,3.25,3.67,S_Rock Gypsum_10.jpg
1.86,3.2,4.13,S_Rock Gypsum_11.jpg
2.62,4.2,4.4,S_Rock Gypsum_12.jpg
2.1,4.8,4.27,S_Rock Salt_01.jpg
4.24,5.3,2.67,S_Rock Salt_02.jpg
4.48,5.0,2.07,S_Rock Salt_03.jpg
3.81,7.4,3.47,S_Rock Salt_04.jpg
2.57,3.55,2.87,S_Rock Salt_05.jpg
3.43,5.75,3.13,S_Rock Salt_06.jpg
2.95,4.95,2.2,S_Rock Salt_07.jpg
1.76,5.05,3.67,S_Rock Salt_08.jpg
2.19,6.4,3.6,S_Rock Salt_09.jpg
3.1,3.5,3.07,S_Rock Salt_10.jpg
2.86,3.15,3.6,S_Rock Salt_11.jpg
2.1,5.05,3.6,S_Rock Salt_12.jpg
3.05,1.95,2.8,S_Sandstone_01.jpg
1.9,1.25,2.8,S_Sandstone_02.jpg
1.71,1.1,2.47,S_Sandstone_03.jpg
1.57,1.0,2.27,S_Sandstone_04.jpg
1.57,1.5,3.2,S_Sandstone_05.jpg
2.48,2.2,3.13,S_Sandstone_06.jpg
2.57,1.55,2.33,S_Sandstone_07.jpg
1.62,1.15,2.53,S_Sandstone_08.jpg
2.1,1.75,2.8,S_Sandstone_09.jpg
3.29,1.55,1.93,S_Sandstone_10.jpg
1.81,1.45,2.27,S_Sandstone_11.jpg
1.43,1.65,2.27,S_Sandstone_12.jpg
1.67,1.25,5.07,S_Shale_01.jpg
2.14,1.9,3.6,S_Shale_02.jpg
1.71,1.15,2.13,S_Shale_03.jpg
1.33,1.1,4.6,S_Shale_04.jpg
1.71,1.45,5.2,S_Shale_05.jpg
3.24,2.55,3.53,S_Shale_06.jpg
1.67,1.8,3.93,S_Shale_07.jpg
1.43,1.25,4.4,S_Shale_08.jpg
3.05,2.35,3.4,S_Shale_09.jpg
1.62,1.45,3.2,S_Shale_10.jpg
2.29,1.9,3.87,S_Shale_11.jpg
2.14,1.2,3.6,S_Shale_12.jpg
