disorganized/organized,red/green,fine/coarse grain,dull/shiny,chromaticity,Image,darkness/lightness,smooth/rough
5.45,4.81,2.7,2.25,1.2,M_Slate_06.jpg,3.25,4.05
5.6,6.63,2.6,2.35,4.6,M_Slate_07.jpg,4.4,3.2
6.0,2.63,2.1,1.95,5.0,M_Slate_08.jpg,3.45,2.5
4.7,5.0,3.2,2.9,1.7,M_Slate_09.jpg,5.1,4.2
5.8,5.12,3.05,2.95,0.5,M_Slate_10.jpg,5.1,4.1
5.4,5.98,2.9,3.55,1.6,M_Slate_11.jpg,6.75,2.9
6.05,4.63,2.45,1.65,0.9,M_Slate_12.jpg,4.55,2.7
4.4,5.07,4.25,6.3,1.0,S_Bituminous Coal_01.jpg,2.15,5.8
4.9,5.07,2.1,8.65,0.2,S_Bituminous Coal_02.jpg,1.35,3.25
4.65,5.02,4.35,6.15,0.3,S_Bituminous Coal_03.jpg,1.3,6.6
4.3,5.49,3.4,7.25,0.8,S_Bituminous Coal_04.jpg,2.85,4.35
4.6,5.02,2.95,4.65,1.2,S_Bituminous Coal_05.jpg,1.55,4.9
4.7,4.51,2.55,6.2,1.5,S_Bituminous Coal_06.jpg,2.6,4.15
5.15,5.44,3.55,4.1,1.3,S_Bituminous Coal_07.jpg,1.65,4.6
4.7,5.02,2.8,5.7,0.3,S_Bituminous Coal_08.jpg,1.4,4.65
5.9,5.0,1.05,7.75,0.2,S_Bituminous Coal_09.jpg,1.1,1.15
4.7,4.93,2.2,6.8,0.3,S_Bituminous Coal_10.jpg,1.1,4.6
5.0,4.91,1.9,7.4,0.6,S_Bituminous Coal_11.jpg,1.3,2.65
3.75,5.47,4.55,4.8,1.1,S_Bituminous Coal_12.jpg,3.05,5.8
1.0,6.63,8.75,2.2,3.5,S_Breccia_01.jpg,5.0,8.7
1.85,4.4,8.55,3.6,3.1,S_Breccia_02.jpg,5.55,8.25
2.45,6.7,8.05,2.4,1.7,S_Breccia_03.jpg,6.2,8.0
3.2,3.35,6.5,3.65,2.4,S_Breccia_04.jpg,5.25,6.0
1.85,4.37,8.0,4.95,2.3,S_Breccia_05.jpg,5.5,7.9
3.55,2.4,7.8,4.2,4.4,S_Breccia_06.jpg,5.7,7.3
3.3,1.51,8.6,3.85,5.5,S_Breccia_07.jpg,5.7,5.4
2.15,2.7,8.45,3.8,5.4,S_Breccia_08.jpg,5.35,6.25
3.0,4.95,3.65,5.45,0.4,S_Breccia_09.jpg,2.0,2.75
3.4,3.53,7.65,3.15,2.8,S_Breccia_10.jpg,4.0,4.7
3.15,1.23,8.85,3.95,5.7,S_Breccia_11.jpg,5.75,5.15
2.25,3.6,8.1,2.65,5.1,S_Breccia_12.jpg,4.9,8.05
4.55,3.91,2.05,4.85,3.2,S_Chert_01.jpg,5.8,2.15
5.15,4.23,1.9,4.25,3.0,S_Chert_02.jpg,8.25,2.4
4.55,4.7,1.85,4.2,4.6,S_Chert_03.jpg,7.55,2.5
5.2,5.05,2.65,2.55,1.6,S_Chert_04.jpg,6.2,2.9
