smooth/rough,Image,red/green,dull/shiny,chromaticity,fine/coarse grain,darkness/lightness,disorganized/organized
4.25,M_Hornfels_10.jpg,5.28,2.05,1.1,3.85,4.4,4.7
4.6,M_Hornfels_11.jpg,5.14,2.1,1.3,3.9,3.4,4.75
3.3,M_Hornfels_12.jpg,5.02,3.35,1.4,2.6,3.6,5.15
7.1,M_Marble_01.jpg,6.51,3.65,1.2,6.2,7.6,3.3
4.25,M_Marble_02.jpg,4.95,5.25,0.2,2.55,8.9,5.9
3.7,M_Marble_03.jpg,5.09,4.15,0.4,2.7,8.95,6.0
4.2,M_Marble_04.jpg,4.79,5.45,0.7,3.2,8.65,5.45
3.9,M_Marble_05.jpg,3.91,5.35,1.1,3.15,8.2,4.7
4.75,M_Marble_06.jpg,5.33,4.85,1.3,3.45,8.25,4.95
4.35,M_Marble_07.jpg,5.09,3.25,0.8,4.95,6.3,6.95
5.55,M_Marble_08.jpg,2.09,5.7,5.1,4.6,6.5,4.9
5.8,M_Marble_09.jpg,5.12,6.3,0.2,5.2,8.3,4.8
5.7,M_Marble_10.jpg,3.0,6.2,3.9,4.5,7.75,5.3
5.25,M_Marble_11.jpg,3.07,4.85,3.8,5.5,7.2,3.95
4.25,M_Marble_12.jpg,5.14,5.15,0.4,4.65,6.65,6.95
4.65,M_Migmatite_01.jpg,5.58,2.7,0.8,5.05,6.25,5.55
4.8,M_Migmatite_02.jpg,5.28,2.4,1.0,4.6,4.35,4.2
3.7,M_Migmatite_03.jpg,5.7,2.55,1.7,4.25,5.85,8.05
3.2,M_Migmatite_04.jpg,5.21,3.2,1.3,3.6,5.45,5.95
4.05,M_Migmatite_05.jpg,5.28,2.15,1.4,4.3,5.3,4.75
4.85,M_Migmatite_06.jpg,5.14,3.95,1.1,5.05,5.55,5.05
4.55,M_Migmatite_07.jpg,5.67,3.15,1.8,5.2,4.6,6.35
4.85,M_Migmatite_08.jpg,6.84,3.4,2.0,5.1,4.55,6.2
5.85,M_Migmatite_09.jpg,6.23,3.05,2.3,5.85,5.05,3.8
4.6,M_Migmatite_10.jpg,5.09,2.2,1.5,5.35,4.4,5.15
4.85,M_Migmatite_11.jpg,5.0,3.0,0.8,4.35,3.25,5.05
4.6,M_Migmatite_12.jpg,4.91,2.45,1.2,4.35,4.5,7.1
5.45,M_Phyllite_01.jpg,5.35,4.95,1.0,5.5,4.5,4.25
4.0,M_Phyllite_02.jpg,4.33,2.35,1.4,3.55,5.0,5.65
4.4,M_Phyllite_03.jpg,5.86,5.25,2.7,3.3,5.8,5.2
3.9,M_Phyllite_04.jpg,6.67,5.7,2.7,3.85,4.5,4.9
3.25,M_Phyllite_05.jpg,5.79,3.75,1.9,2.9,5.95,7.1
3.6,M_Phyllite_06.jpg,6.12,6.1,1.8,3.35,5.1,6.2
3.8,M_Phyllite_07.jpg,7.19,2.65,2.5,3.4,4.25,5.9
2.85,M_Phyllite_08.jpg,6.77,6.55,1.7,2.9,2.9,6.2
3.95,M_Phyllite_09.jpg,7.93,5.0,2.3,3.45,5.65,5.35
3.7,M_Phyllite_10.jpg,5.33,2.4,1.5,3.4,4.55,5.35
6.15,M_Phyllite_11.jpg,4.91,3.9,1.8,5.25,4.75,4.85
4.75,M_Phyllite_12.jpg,5.51,6.4,1.7,3.75,6.45,5.4
3.9,M_Quartzite_01.jpg,5.02,2.85,1.2,4.35,6.05,5.35
3.1,M_Quartzite_02.jpg,3.77,2.5,2.5,3.2,5.4,7.55
5.15,M_Quartzite_03.jpg,8.49,2.85,3.3,5.1,5.55,5.45
4.95,M_Quartzite_04.jpg,5.91,3.7,1.4,4.85,6.45,4.6
3.8,M_Quartzite_05.jpg,5.09,4.3,1.0,4.05,7.55,5.7
4.7,M_Quartzite_06.jpg,3.74,4.35,2.9,4.75,6.4,5.9
2.9,M_Quartzite_07.jpg,6.07,3.45,2.4,2.6,6.15,6.05
4.35,M_Quartzite_08.jpg,5.23,3.45,1.4,4.2,7.15,5.75
4.05,M_Quartzite_09.jpg,4.95,4.4,1.0,5.05,7.05,4.65
5.8,M_Quartzite_10.jpg,2.91,4.75,3.9,5.1,6.4,3.9
3.9,M_Quartzite_11.jpg,1.58,2.15,5.5,4.4,5.65,5.9
3.9,M_Quartzite_12.jpg,4.0,1.95,3.7,3.45,6.5,6.05
5.1,M_Schist_01.jpg,4.81,2.95,1.6,4.2,5.8,4.7
6.8,M_Schist_02.jpg,5.53,5.35,0.9,5.65,6.55,3.7
6.55,M_Schist_03.jpg,6.77,4.55,2.7,5.5,3.15,3.8
5.55,M_Schist_04.jpg,3.58,4.85,4.1,5.55,4.55,3.9
5.1,M_Schist_05.jpg,5.63,6.8,1.3,3.95,3.9,4.74
6.4,M_Schist_06.jpg,4.21,5.95,1.6,6.2,4.55,3.95
6.3,M_Schist_07.jpg,7.65,5.0,3.3,6.1,4.15,3.7
5.45,M_Schist_08.jpg,5.12,4.4,1.0,5.25,5.95,3.5
6.15,M_Schist_09.jpg,5.72,3.05,0.6,5.6,3.2,4.7
5.65,M_Schist_10.jpg,5.86,4.35,1.3,5.3,4.8,4.6
5.8,M_Schist_11.jpg,5.26,4.15,2.4,5.45,4.55,4.1
5.9,M_Schist_12.jpg,4.77,4.2,2.3,6.35,4.1,3.3
4.25,M_Slate_01.jpg,8.49,2.45,3.4,3.75,4.9,6.15
2.6,M_Slate_02.jpg,5.05,6.05,0.8,1.7,6.65,5.95
3.7,M_Slate_03.jpg,5.53,2.4,0.7,3.1,5.0,5.2
3.6,M_Slate_04.jpg,5.4,2.15,0.4,2.75,4.5,5.6
3.7,M_Slate_05.jpg,1.16,2.9,5.7,2.8,5.1,6.2
4.05,M_Slate_06.jpg,4.81,2.25,1.2,2.7,3.25,5.45
3.2,M_Slate_07.jpg,6.63,2.35,4.6,2.6,4.4,5.6
2.5,M_Slate_08.jpg,2.63,1.95,5.0,2.1,3.45,6.0
4.2,M_Slate_09.jpg,5.0,2.9,1.7,3.2,5.1,4.7
4.1,M_Slate_10.jpg,5.12,2.95,0.5,3.05,5.1,5.8
2.9,M_Slate_11.jpg,5.98,3.55,1.6,2.9,6.75,5.4
2.7,M_Slate_12.jpg,4.63,1.65,0.9,2.45,4.55,6.05
5.8,S_Bituminous Coal_01.jpg,5.07,6.3,1.0,4.25,2.15,4.4
3.25,S_Bituminous Coal_02.jpg,5.07,8.65,0.2,2.1,1.35,4.9
6.6,S_Bituminous Coal_03.jpg,5.02,6.15,0.3,4.35,1.3,4.65
4.35,S_Bituminous Coal_04.jpg,5.49,7.25,0.8,3.4,2.85,4.3
4.9,S_Bituminous Coal_05.jpg,5.02,4.65,1.2,2.95,1.55,4.6
4.15,S_Bituminous Coal_06.jpg,4.51,6.2,1.5,2.55,2.6,4.7
4.6,S_Bituminous Coal_07.jpg,5.44,4.1,1.3,3.55,1.65,5.15
4.65,S_Bituminous Coal_08.jpg,5.02,5.7,0.3,2.8,1.4,4.7
1.15,S_Bituminous Coal_09.jpg,5.0,7.75,0.2,1.05,1.1,5.9
4.6,S_Bituminous Coal_10.jpg,4.93,6.8,0.3,2.2,1.1,4.7
2.65,S_Bituminous Coal_11.jpg,4.91,7.4,0.6,1.9,1.3,5.0
5.8,S_Bituminous Coal_12.jpg,5.47,4.8,1.1,4.55,3.05,3.75
