red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
2.51,5.45,1.8,5.2,6.25,I_Rhyolite_09.jpg,5.85,4.55
7.98,5.8,2.65,2.2,5.7,I_Rhyolite_10.jpg,5.4,4.75
5.05,6.3,2.0,0.9,6.9,I_Rhyolite_11.jpg,3.1,4.0
2.37,5.15,2.6,4.8,5.1,I_Rhyolite_12.jpg,5.95,5.9
4.4,5.05,6.25,0.9,2.0,M_Amphibolite_01.jpg,5.55,4.6
5.16,4.55,2.3,0.6,2.35,M_Amphibolite_02.jpg,4.0,5.5
4.6,4.5,5.55,0.8,2.0,M_Amphibolite_03.jpg,3.85,3.3
5.98,5.15,3.85,1.8,2.85,M_Amphibolite_04.jpg,5.15,5.25
5.14,5.9,2.9,1.5,4.4,M_Amphibolite_05.jpg,5.5,5.3
5.42,5.55,2.85,1.6,3.25,M_Amphibolite_06.jpg,4.35,5.0
5.35,5.15,3.65,1.0,4.0,M_Amphibolite_07.jpg,6.0,5.75
4.95,4.35,6.5,1.0,1.65,M_Amphibolite_08.jpg,4.35,6.15
6.28,5.85,3.5,2.4,3.0,M_Amphibolite_09.jpg,5.75,4.45
5.09,6.35,2.75,0.2,2.75,M_Amphibolite_10.jpg,5.3,4.2
6.49,3.5,3.65,1.4,3.1,M_Amphibolite_11.jpg,7.0,6.95
6.53,2.35,4.3,2.3,3.55,M_Amphibolite_12.jpg,6.95,7.35
5.0,5.6,7.75,0.2,1.0,M_Anthracite_01.jpg,1.65,1.4
4.7,4.35,8.25,0.9,1.45,M_Anthracite_02.jpg,1.9,3.3
5.6,3.5,7.55,1.4,3.15,M_Anthracite_03.jpg,4.9,7.3
4.67,4.3,8.65,0.8,1.3,M_Anthracite_04.jpg,1.95,3.75
4.91,5.0,8.4,0.2,1.05,M_Anthracite_05.jpg,1.85,2.85
5.05,6.5,6.15,1.0,2.75,M_Anthracite_06.jpg,2.6,4.95
5.0,5.9,8.0,0.2,1.7,M_Anthracite_07.jpg,1.3,1.65
5.0,5.55,8.15,0.3,1.0,M_Anthracite_08.jpg,1.3,1.9
4.98,5.3,8.15,0.4,1.15,M_Anthracite_09.jpg,1.4,2.1
4.86,4.25,7.95,0.4,1.35,M_Anthracite_10.jpg,3.35,5.85
5.09,5.4,7.15,0.6,1.15,M_Anthracite_11.jpg,2.55,4.35
5.16,4.3,8.3,0.4,1.15,M_Anthracite_12.jpg,2.5,3.15
6.53,7.15,2.45,1.8,5.4,M_Gneiss_01.jpg,4.05,3.5
4.91,6.7,3.8,3.6,5.75,M_Gneiss_02.jpg,5.3,4.9
4.3,6.45,2.85,2.5,5.85,M_Gneiss_03.jpg,4.5,4.55
3.23,6.4,2.9,3.6,5.1,M_Gneiss_04.jpg,5.2,4.3
6.88,6.5,2.9,2.7,6.1,M_Gneiss_05.jpg,5.0,4.8
4.19,8.1,2.35,1.4,6.25,M_Gneiss_06.jpg,4.55,3.85
6.49,7.5,2.9,2.2,4.95,M_Gneiss_07.jpg,4.0,4.0
6.42,7.15,4.0,1.3,5.5,M_Gneiss_08.jpg,5.15,4.45
5.47,8.05,2.25,1.1,5.35,M_Gneiss_09.jpg,4.9,4.15
3.49,6.65,3.0,3.9,5.35,M_Gneiss_10.jpg,5.45,5.15
5.19,7.65,3.3,1.7,5.3,M_Gneiss_11.jpg,4.85,4.65
5.09,5.2,3.0,1.4,4.0,M_Gneiss_12.jpg,5.25,4.3
5.12,5.1,2.95,0.4,1.85,M_Hornfels_01.jpg,3.0,3.85
5.72,5.75,2.4,1.6,5.25,M_Hornfels_02.jpg,2.8,3.75
4.98,5.5,3.4,1.0,2.8,M_Hornfels_03.jpg,2.6,3.75
5.16,5.1,2.05,2.1,3.8,M_Hornfels_04.jpg,3.45,4.75
5.07,5.45,3.15,0.5,2.0,M_Hornfels_05.jpg,2.15,3.45
2.74,5.2,2.3,3.9,2.95,M_Hornfels_06.jpg,2.8,4.05
6.63,5.4,4.35,1.3,1.65,M_Hornfels_07.jpg,3.05,5.05
5.07,4.55,3.85,1.1,3.65,M_Hornfels_08.jpg,3.85,5.5
5.0,4.3,2.65,2.0,4.25,M_Hornfels_09.jpg,4.85,5.4
5.28,4.7,2.05,1.1,4.4,M_Hornfels_10.jpg,3.85,4.25
5.14,4.75,2.1,1.3,3.4,M_Hornfels_11.jpg,3.9,4.6
5.02,5.15,3.35,1.4,3.6,M_Hornfels_12.jpg,2.6,3.3
6.51,3.3,3.65,1.2,7.6,M_Marble_01.jpg,6.2,7.1
4.95,5.9,5.25,0.2,8.9,M_Marble_02.jpg,2.55,4.25
5.09,6.0,4.15,0.4,8.95,M_Marble_03.jpg,2.7,3.7
4.79,5.45,5.45,0.7,8.65,M_Marble_04.jpg,3.2,4.2
3.91,4.7,5.35,1.1,8.2,M_Marble_05.jpg,3.15,3.9
